,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
4304,Martínez de la Torre,Martinez de la Torre,20.0667,-97.05,Mexico,MX,MEX,Veracruz,minor,110415.0,1484150240
4306,Tecomán,Tecoman,18.9089,-103.8747,Mexico,MX,MEX,Colima,minor,112726.0,1484348795
4342,Temixco,Temixco,18.85,-99.2333,Mexico,MX,MEX,Morelos,minor,116143.0,1484273506
4373,San Antonio Enchisi,San Antonio Enchisi,19.7072,-99.7867,Mexico,MX,MEX,México,,110560.0,1484770456
4381,Parral,Parral,26.9333,-105.6667,Mexico,MX,MEX,Chihuahua,minor,109510.0,1484607603
4384,Huejutla de Reyes,Huejutla de Reyes,21.1333,-98.4167,Mexico,MX,MEX,Hidalgo,,115786.0,1484746079
4416,Las Delicias,Las Delicias,28.2,-105.5,Mexico,MX,MEX,Chihuahua,,114783.0,1484513329
4442,San Francisco del Rincón,San Francisco del Rincon,21.0228,-101.86,Mexico,MX,MEX,Guanajuato,minor,113570.0,1484674455
4508,Ciudad Mante,Ciudad Mante,22.7333,-98.95,Mexico,MX,MEX,Tamaulipas,minor,112061.0,1484536173
4520,Escuintla,Escuintla,15.3194,-92.6583,Mexico,MX,MEX,Chiapas,minor,107638.0,1484508510
4558,Fresnillo,Fresnillo,23.175,-102.8675,Mexico,MX,MEX,Zacatecas,minor,110892.0,1484014035
4573,Iguala de la Independencia,Iguala de la Independencia,18.35,-99.5333,Mexico,MX,MEX,Guerrero,minor,110390.0,1484280781
4644,Huauchinango,Huauchinango,20.1767,-98.0528,Mexico,MX,MEX,Puebla,minor,97753.0,1484856743
4693,La Piedad,La Piedad,20.3333,-102.0167,Mexico,MX,MEX,Michoacán de Ocampo,minor,99837.0,1484779296
4706,San Felipe,San Felipe,21.4833,-101.2167,Mexico,MX,MEX,Guanajuato,minor,106952.0,1484279509
4752,Lerma,Lerma,19.2847,-99.5119,Mexico,MX,MEX,México,minor,105578.0,1484402392
