,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
10754,Chigorodó,Chigorodo,7.6697,-76.6814,Colombia,CO,COL,Antioquia,minor,84183.0,1170787746
10756,Cereté,Cerete,8.8867,-75.7911,Colombia,CO,COL,Córdoba,minor,83917.0,1170926689
10828,Funza,Funza,4.7175,-74.2094,Colombia,CO,COL,Cundinamarca,minor,80937.0,1170562658
10832,Caldas,Caldas,6.0886,-75.6361,Colombia,CO,COL,Antioquia,minor,81381.0,1170279867
10874,Los Patios,Los Patios,7.8342,-72.505,Colombia,CO,COL,Norte de Santander,minor,80235.0,1170225535
10970,El Carmen de Bolívar,El Carmen de Bolivar,9.7167,-75.1167,Colombia,CO,COL,Bolívar,minor,78729.0,1170394868
10971,Tierralta,Tierralta,8.1728,-76.0594,Colombia,CO,COL,Córdoba,minor,78770.0,1170909785
10976,La Dorada,La Dorada,5.4538,-74.6647,Colombia,CO,COL,Caldas,minor,78540.0,1170734727
10992,Arjona,Arjona,10.255,-75.3447,Colombia,CO,COL,Bolívar,minor,78070.0,1170602407
11058,Turbaco,Turbaco,10.3319,-75.4142,Colombia,CO,COL,Bolívar,minor,76218.0,1170194197
11082,Espinal,Espinal,4.1486,-74.8819,Colombia,CO,COL,Tolima,minor,75828.0,1170084447
11125,Acacías,Acacias,3.9889,-73.7647,Colombia,CO,COL,Meta,minor,75252.0,1170420071
11160,Copacabana,Copacabana,6.3486,-75.5103,Colombia,CO,COL,Antioquia,minor,73574.0,1170002661
11243,Santa Rosa de Cabal,Santa Rosa de Cabal,4.8672,-75.6211,Colombia,CO,COL,Risaralda,minor,73028.0,1170419801
11253,San Vicente del Caguán,San Vicente del Caguan,2.1153,-74.77,Colombia,CO,COL,Caquetá,minor,72949.0,1170922792
11331,Corozal,Corozal,9.3169,-75.2933,Colombia,CO,COL,Sucre,minor,70853.0,1170958484
11372,Villa del Rosario,Villa del Rosario,7.8353,-72.4736,Colombia,CO,COL,Norte de Santander,minor,69833.0,1170700232
11392,Garzón,Garzon,2.1961,-75.6292,Colombia,CO,COL,Huila,minor,69823.0,1170149755
11423,Planeta Rica,Planeta Rica,8.4089,-75.5819,Colombia,CO,COL,Córdoba,minor,69285.0,1170924519
11435,Necoclí,Necocli,8.4258,-76.7839,Colombia,CO,COL,Antioquia,minor,69090.0,1170745269
11516,Manaure,Manaure,11.775,-72.4444,Colombia,CO,COL,La Guajira,minor,67584.0,1170534927
11655,Marinilla,Marinilla,6.1744,-75.3389,Colombia,CO,COL,Antioquia,minor,64645.0,1170499821
11704,Ciénaga de Oro,Cienaga de Oro,8.875,-75.6211,Colombia,CO,COL,Córdoba,minor,64226.0,1170711004
11785,Puerto Asís,Puerto Asis,0.5006,-76.4989,Colombia,CO,COL,Putumayo,minor,63067.0,1170627964
11808,Cajicá,Cajica,4.9167,-74.025,Colombia,CO,COL,Cundinamarca,minor,61549.0,1170852541
11834,Riosucio,Riosucio,5.4208,-75.7028,Colombia,CO,COL,Caldas,minor,62296.0,1170642933
11877,Plato,Plato,9.7925,-74.7825,Colombia,CO,COL,Magdalena,minor,61856.0,1170202938
11888,Carepa,Carepa,7.7581,-76.6553,Colombia,CO,COL,Antioquia,minor,61641.0,1170091679
11947,Villamaría,Villamaria,5.0456,-75.5153,Colombia,CO,COL,Caldas,minor,60729.0,1170294681
11999,San Marcos,San Marcos,8.6622,-75.1289,Colombia,CO,COL,Sucre,minor,59976.0,1170680965
12009,Girardota,Girardota,6.3769,-75.4461,Colombia,CO,COL,Antioquia,minor,59319.0,1170812272
12076,Pamplona,Pamplona,7.3761,-72.6483,Colombia,CO,COL,Norte de Santander,minor,58975.0,1170275020
12077,Florida,Florida,3.3217,-76.2347,Colombia,CO,COL,Valle del Cauca,minor,58988.0,1170190923
12158,Pradera,Pradera,3.4189,-76.2439,Colombia,CO,COL,Valle del Cauca,minor,57990.0,1170774780
12191,Orito,Orito,0.6661,-76.8708,Colombia,CO,COL,Putumayo,minor,57774.0,1170380074
12264,Puerto Boyacá,Puerto Boyaca,5.9761,-74.5875,Colombia,CO,COL,Boyacá,minor,56930.0,1170291040
12375,El Banco,El Banco,9.0008,-73.9744,Colombia,CO,COL,Magdalena,minor,55530.0,1170111607
12420,San Gil,San Gil,6.555,-73.1336,Colombia,CO,COL,Santander,minor,54687.0,1170310004
12480,Valle del Guamuez,Valle del Guamuez,0.4253,-76.9053,Colombia,CO,COL,Putumayo,,54237.0,1170672638
12502,Puerto Libertador,Puerto Libertador,7.8881,-75.6717,Colombia,CO,COL,Córdoba,minor,53990.0,1170000625
12556,Barbosa,Barbosa,6.4375,-75.3306,Colombia,CO,COL,Antioquia,minor,53167.0,1170859178
12572,Tame,Tame,6.4583,-71.7447,Colombia,CO,COL,Arauca,minor,53266.0,1170459811
12603,Lorica,Lorica,9.2419,-75.816,Colombia,CO,COL,Córdoba,minor,52771.0,1170094504
12670,San Onofre,San Onofre,9.7372,-75.5256,Colombia,CO,COL,Sucre,minor,51991.0,1170481491
12713,Guarne,Guarne,6.2792,-75.4419,Colombia,CO,COL,Antioquia,minor,51265.0,1170977229
12771,El Bagre,El Bagre,7.6047,-74.8086,Colombia,CO,COL,Antioquia,minor,50863.0,1170419984
12795,Baranoa,Baranoa,10.7956,-74.9194,Colombia,CO,COL,Atlántico,minor,50261.0,1170983977
12819,Chinú,Chinu,9.1097,-75.3981,Colombia,CO,COL,Córdoba,minor,50313.0,1170780523
12835,Puerto Berrío,Puerto Berrio,6.4906,-74.4047,Colombia,CO,COL,Antioquia,minor,50232.0,1170372171
12905,Cimitarra,Cimitarra,6.3133,-73.95,Colombia,CO,COL,Santander,minor,49593.0,1170205431
12908,María la Baja,Maria la Baja,9.9811,-75.2986,Colombia,CO,COL,Bolívar,minor,49462.0,1170699582
12931,Samaniego,Samaniego,1.3364,-77.5925,Colombia,CO,COL,Nariño,minor,49178.0,1170018906
12944,Agustín Codazzi,Agustin Codazzi,10.0367,-73.2369,Colombia,CO,COL,Cesar,minor,49233.0,1170077466
12951,Carmen de Viboral,Carmen de Viboral,6.0819,-75.3342,Colombia,CO,COL,Antioquia,minor,49076.0,1170768757
13011,Yarumal,Yarumal,6.9633,-75.4172,Colombia,CO,COL,Antioquia,minor,48556.0,1170371045
13155,La Vega,La Vega,2.0008,-76.7778,Colombia,CO,COL,Cauca,minor,47417.0,1170000228
13163,San Andrés de Sotavento,San Andres de Sotavento,9.1453,-75.5086,Colombia,CO,COL,Córdoba,minor,47282.0,1170392574
13165,Chaparral,Chaparral,3.7236,-75.4847,Colombia,CO,COL,Tolima,minor,47397.0,1170193964
13169,Andes,Andes,5.6556,-75.8803,Colombia,CO,COL,Antioquia,minor,47384.0,1170727383
13186,Ayapel,Ayapel,8.3125,-75.145,Colombia,CO,COL,Córdoba,minor,47247.0,1170146577
13195,Zarzal,Zarzal,4.3942,-76.0703,Colombia,CO,COL,Valle del Cauca,minor,47062.0,1170495189
13202,Urrao,Urrao,6.3156,-76.1342,Colombia,CO,COL,Antioquia,minor,47128.0,1170571210
13221,Roldanillo,Roldanillo,4.4136,-76.1547,Colombia,CO,COL,Valle del Cauca,minor,46788.0,1170267836
13228,Valencia,Valencia,8.2592,-76.1469,Colombia,CO,COL,Córdoba,minor,46897.0,1170188761
13269,Puerto Tejada,Puerto Tejada,3.23,-76.4175,Colombia,CO,COL,Cauca,minor,46166.0,1170475909
13337,Santa Rosa del Sur,Santa Rosa del Sur,7.9633,-74.0533,Colombia,CO,COL,Bolívar,minor,46017.0,1170579856
13393,San Pelayo,San Pelayo,8.9578,-75.8375,Colombia,CO,COL,Córdoba,minor,45396.0,1170248105
13492,Arboletes,Arboletes,8.8511,-76.4272,Colombia,CO,COL,Antioquia,minor,44560.0,1170052299
13589,Villeta,Villeta,5.0128,-74.4731,Colombia,CO,COL,Cundinamarca,minor,43574.0,1170441862
13677,Aguazul,Aguazul,5.1689,-72.5467,Colombia,CO,COL,Casanare,minor,43183.0,1170359050
13689,Cumaribo,Cumaribo,4.4461,-69.7956,Colombia,CO,COL,Vichada,minor,43138.0,1170966663
13716,Miranda,Miranda,3.2503,-76.2286,Colombia,CO,COL,Cauca,minor,42639.0,1170512860
13761,El Charco,El Charco,2.4775,-78.1111,Colombia,CO,COL,Nariño,minor,42525.0,1170354433
13822,Montenegro,Montenegro,4.5653,-75.7511,Colombia,CO,COL,Quindío,minor,41857.0,1170267706
13826,Cáceres,Caceres,7.5794,-75.3503,Colombia,CO,COL,Antioquia,minor,42112.0,1170859204
13900,Pueblo Nuevo,Pueblo Nuevo,8.505,-75.5075,Colombia,CO,COL,Córdoba,minor,41684.0,1170000348
13924,Tuchín,Tuchin,9.1858,-75.5553,Colombia,CO,COL,Córdoba,minor,41345.0,1170331155
13972,Arauquita,Arauquita,7.0261,-71.4272,Colombia,CO,COL,Arauca,minor,41309.0,1170159021
13985,Guaduas,Guaduas,5.0694,-74.5981,Colombia,CO,COL,Cundinamarca,minor,41142.0,1170513211
14056,Pie de Pató,Pie de Pato,5.5153,-76.9747,Colombia,CO,COL,Chocó,minor,40733.0,1170030072
14072,La Unión,La Union,4.5331,-76.1006,Colombia,CO,COL,Valle del Cauca,minor,40339.0,1170145484
14094,Cumbal,Cumbal,0.9078,-77.7908,Colombia,CO,COL,Nariño,minor,40492.0,1170478415
14108,Aracataca,Aracataca,10.5911,-74.185,Colombia,CO,COL,Magdalena,minor,40400.0,1170335661
14119,Túquerres,Tuquerres,1.0872,-77.6189,Colombia,CO,COL,Nariño,minor,40159.0,1170724789
14201,Villa de San Diego de Ubaté,Villa de San Diego de Ubate,5.3072,-73.8144,Colombia,CO,COL,Cundinamarca,minor,39568.0,1170489797
14202,Acevedo,Acevedo,1.8047,-75.8897,Colombia,CO,COL,Huila,minor,39877.0,1170946838
14224,Líbano,Libano,4.9206,-75.0611,Colombia,CO,COL,Tolima,minor,39665.0,1170994564
14228,Bosconia,Bosconia,9.9761,-73.8903,Colombia,CO,COL,Cesar,minor,39716.0,1170142290
14278,San Juan del Cesar,San Juan del Cesar,10.7708,-73.0031,Colombia,CO,COL,La Guajira,minor,39472.0,1170398526
14304,Tarazá,Taraza,7.5839,-75.4003,Colombia,CO,COL,Antioquia,minor,39257.0,1170830485
14399,Cajibío,Cajibio,2.6233,-76.5731,Colombia,CO,COL,Cauca,minor,38703.0,1170570874
14406,Sibaté,Sibate,4.4908,-74.2594,Colombia,CO,COL,Cundinamarca,minor,38412.0,1170223176
14410,Segovia,Segovia,7.0781,-74.7017,Colombia,CO,COL,Antioquia,minor,38661.0,1170027654
14506,Sampués,Sampues,9.1847,-75.3786,Colombia,CO,COL,Sucre,minor,37925.0,1170198440
14549,Dibulla,Dibulla,11.2725,-73.3089,Colombia,CO,COL,La Guajira,minor,37854.0,1170252076
14596,El Bordo,El Bordo,2.1142,-76.9831,Colombia,CO,COL,Cauca,minor,37504.0,1170827287
14616,Santa Rosa de Osos,Santa Rosa de Osos,6.6472,-75.4606,Colombia,CO,COL,Antioquia,minor,37435.0,1170188464
14628,Melgar,Melgar,4.2039,-74.6428,Colombia,CO,COL,Tolima,minor,37224.0,1170387585
14648,Tibú,Tibu,8.64,-72.7381,Colombia,CO,COL,Norte de Santander,minor,37286.0,1170518089
14713,Dagua,Dagua,3.6575,-76.6917,Colombia,CO,COL,Valle del Cauca,minor,36891.0,1170326563
14740,La Macarena,La Macarena,2.1828,-73.7847,Colombia,CO,COL,Meta,minor,36781.0,1170049072
14763,Belalcázar,Belalcazar,2.6469,-75.9717,Colombia,CO,COL,Cauca,minor,36628.0,1170676223
14798,Sonsón,Sonson,5.7094,-75.3106,Colombia,CO,COL,Antioquia,minor,36445.0,1170000118
14820,San Pablo,San Pablo,7.4764,-73.9231,Colombia,CO,COL,Bolívar,minor,36341.0,1170480324
14825,San Bernardo del Viento,San Bernardo del Viento,9.355,-75.9544,Colombia,CO,COL,Córdoba,minor,36200.0,1170684147
14914,Guacarí,Guacari,3.7647,-76.3322,Colombia,CO,COL,Valle del Cauca,minor,35662.0,1170383272
14931,Santiago de Tolú,Santiago de Tolu,9.525,-75.5817,Colombia,CO,COL,Sucre,minor,35670.0,1170666994
14934,Timbío,Timbio,2.3528,-76.6819,Colombia,CO,COL,Cauca,minor,35564.0,1170815311
14978,Tocancipá,Tocancipa,4.9661,-73.9111,Colombia,CO,COL,Cundinamarca,minor,35439.0,1170000496
14980,Gigante,Gigante,2.3867,-75.5461,Colombia,CO,COL,Huila,minor,35498.0,1170264129
14986,Quimbaya,Quimbaya,4.6239,-75.7631,Colombia,CO,COL,Quindío,minor,35276.0,1170735319
15001,Cartagena del Chairá,Cartagena del Chaira,1.3361,-74.8467,Colombia,CO,COL,Caquetá,minor,35473.0,1170248005
15030,Yarumal,Yarumal,7.0306,-75.5905,Colombia,CO,COL,Antioquia,,35315.0,1170196021
15050,Fonseca,Fonseca,10.8858,-72.8481,Colombia,CO,COL,La Guajira,minor,35205.0,1170493430
15072,Sabanagrande,Sabanagrande,10.7903,-74.7556,Colombia,CO,COL,Atlántico,minor,34369.0,1170578455
15075,San Vicente de Chucurí,San Vicente de Chucuri,6.8819,-73.4119,Colombia,CO,COL,Santander,minor,35121.0,1170349085
15085,San Luis de Sincé,San Luis de Since,9.2447,-75.1458,Colombia,CO,COL,Sucre,minor,35022.0,1170323001
15087,Puerto López,Puerto Lopez,4.0897,-72.9619,Colombia,CO,COL,Meta,minor,35097.0,1170290556
15105,Campoalegre,Campoalegre,2.6867,-75.3256,Colombia,CO,COL,Huila,minor,34923.0,1170655224
15256,Caldono,Caldono,2.7969,-76.4828,Colombia,CO,COL,Cauca,minor,34132.0,1170589443
15258,Quinchía,Quinchia,5.3394,-75.7294,Colombia,CO,COL,Risaralda,minor,34005.0,1170201227
15286,San Agustín,San Agustin,1.8792,-76.2683,Colombia,CO,COL,Huila,minor,34120.0,1170663571
15305,San Juan Nepomuceno,San Juan Nepomuceno,9.9522,-75.0811,Colombia,CO,COL,Bolívar,minor,34012.0,1170645816
15308,Majagual,Majagual,8.5408,-74.6297,Colombia,CO,COL,Sucre,minor,34010.0,1170046110
15377,Puerto Rico,Puerto Rico,1.9075,-75.1583,Colombia,CO,COL,Caquetá,minor,33701.0,1170209030
15380,San Antero,San Antero,9.3775,-75.7603,Colombia,CO,COL,Córdoba,minor,33662.0,1170032632
15401,Corinto,Corinto,3.1739,-76.2594,Colombia,CO,COL,Cauca,minor,33489.0,1170948905
15457,La Virginia,La Virginia,4.8967,-75.8839,Colombia,CO,COL,Risaralda,minor,32330.0,1170879762
15477,Pivijay,Pivijay,10.4608,-74.6153,Colombia,CO,COL,Magdalena,minor,33225.0,1170978231
15520,Puebloviejo,Puebloviejo,10.9942,-74.2833,Colombia,CO,COL,Magdalena,minor,33030.0,1170245441
15572,Puerto Escondido,Puerto Escondido,9.0192,-76.2614,Colombia,CO,COL,Córdoba,minor,32745.0,1170484515
